sample3,,sample4,,
Wavelength (nm),%R,Wavelength (nm),Abs,
256,9.303761482,256,1.031675816,
255,9.32127285,255,1.032942057,
254,9.30850029,254,1.02798748,
253,9.419335365,253,1.027747393,
252,9.384129524,252,1.02406168,
251,9.487089157,251,1.023768783,
250,9.526453018,250,1.021400571,
249,9.560316086,249,1.016391873,
248,9.482658386,248,1.017597914,
247,9.636281013,247,1.014222383,
246,9.659722328,246,1.016182303,
245,9.734408379,245,1.01049161,
244,9.76533699,244,1.007552981,
243,9.782504082,243,1.008476496,
242,9.892146111,242,1.001804829,
241,9.916668892,241,1.000741243,
240,10.0076828,240,0.9998099208,
239,10.06440544,239,0.9967141747,
238,10.10031891,238,0.9956354499,
237,10.18411732,237,0.9940001965,
236,10.25433731,236,0.9884737134,
235,10.22437096,235,0.9875418544,
234,10.37934685,234,0.9834487438,
233,10.43403625,233,0.9806647301,
232,10.58839512,232,0.9782062173,
231,10.60552502,231,0.9788608551,
230,10.68951225,230,0.9712802172,
229,10.71700573,229,0.9682750702,
228,10.77151775,228,0.9656888843,
227,10.85284138,227,0.9606316686,
226,10.88858414,226,0.9627867341,
225,10.93019009,225,0.9594888091,
224,10.96951866,224,0.9592294693,
223,11.06172276,223,0.9572845697,
222,11.07297421,222,0.9521912336,
221,11.09665394,221,0.9556467533,
220,11.09952736,220,0.9473628402,
219,11.27574158,219,0.9506177902,
218,11.28618717,218,0.9462172389,
217,11.32791424,217,0.9421567917,
216,11.47699833,216,0.9458403587,
215,11.600914,215,0.939160943,
214,11.69377232,214,0.9330078363,
213,11.77137756,213,0.9241043329,
212,11.81846333,212,0.92236799,
211,12.13757801,211,0.9172527194,
210,12.18689728,210,0.9170076251,
209,12.19494438,209,0.9126303792,
208,12.69958878,208,0.8985598683,
207,12.76838493,207,0.8934432268,
206,12.87757874,206,0.8872098327,
205,13.36384296,205,0.8792350292,
204,13.59061718,204,0.8701249957,
203,13.88818455,203,0.8621596098,
202,14.14328671,202,0.8512994051,
201,14.46183205,201,0.8327772021,
200,15.07779026,200,0.823767662,

sample3,
sample3
Collection Time: 19/07/2025 12:54:50
Operator Name  :
Scan Software Version: 4.20(470)
Parameter List :
Instrument                        Cary 100
Instrument Version                12.00
Start (nm)                        800.00
Stop (nm)                         200.00
X Mode                            Nanometers
Y Mode                            %R
UV-Vis Scan Rate (nm/min)         600.000
UV-Vis Data Interval (nm)         1.000
UV-Vis Ave. Time (sec)            0.100
UV-Vis SBW (nm)                   2.0
Beam Mode                         Double
Signal-to-noise Mode              Off
UV Source                         On
Vis Source                        On
Source Changeover (nm)            350.00
Baseline Correction               On
Baseline Type                     Baseline correction
Baseline File Name
Baseline Std Ref File Name
Cycle Mode                        Off
Comments
Method Log     :
Method Name    :
Date/Time stamp: 19/07/2025 11:45:35
Method Modifications:
Auto Lamps Off Changed: 19/07/2025 12:00:26, Old:0, New:1
Baseline Correction Changed: 19/07/2025 12:00:26, Old:0, New:1
Y mode Changed: 19/07/2025 12:51:46, Old:Abs, New:%R
End Method Modifications
<SBW (nm)> , 2.00
<Energy> , 171.00
<Current Wavelength> , 200.00

sample4,
sample4
Collection Time: 19/07/2025 12:58:48
Operator Name  :
Scan Software Version: 4.20(470)
Parameter List :
Instrument                        Cary 100
Instrument Version                12.00
Start (nm)                        800.00
Stop (nm)                         200.00
X Mode                            Nanometers
Y Mode                            Abs
UV-Vis Scan Rate (nm/min)         600.000
UV-Vis Data Interval (nm)         1.000
UV-Vis Ave. Time (sec)            0.100
UV-Vis SBW (nm)                   2.0
Beam Mode                         Double
Signal-to-noise Mode              Off
UV Source                         On
Vis Source                        On
Source Changeover (nm)            350.00
Baseline Correction               On
Baseline Type                     Baseline correction
Baseline File Name
Baseline Std Ref File Name
Cycle Mode                        Off
Comments
Method Log     :
Method Name    :
Date/Time stamp: 19/07/2025 11:45:35
Method Modifications:
Auto Lamps Off Changed: 19/07/2025 12:00:26, Old:0, New:1
Baseline Correction Changed: 19/07/2025 12:00:26, Old:0, New:1
Y mode Changed: 19/07/2025 12:51:46, Old:Abs, New:%R
Y mode Changed: 19/07/2025 12:58:28, Old:%R, New:Abs
End Method Modifications
<SBW (nm)> , 2.00
<Energy> , 172.00
<Current Wavelength> , 200.00

