sample3;;sample4;
Wavelength (nm);%R;Wavelength (nm);Abs
301;8.616.775.513;301;1.064.254.522
300;8.651.873.589;300;1.064.194.322
299;8.600.749.969;299;1.066.578.388
298;8.595.092.773;298;1.064.523.339
297;8.702.973.366;297;106.575.954
296;8.633.422.852;296;1.060.254.574
295;8.791.043.282;295;1.064.361.095
294;8.697.037.697;294;1.055.566.549
293;8.713.523.865;293;1.064.048.052
292;8.677.031.517;292;1.062.224.984
291;8.628.925.323;291;1.060.176.134
290;8.675.398.827;290;1.060.380.697
289;8.700.712.204;289;1.064.421.058
288;8.790.423.393;288;1.057.688.475
287;8.742.525.101;287;1.059.479.356
286;8.772.374.153;286;1.054.247.856
285;8.887.020.111;285;1.053.419.709
284;8.844.370.842;284;1.055.395.126
283;8.834.581.375;283;1.051.307.797
282;8.907.530.785;282;1.054.824.948
281;8.920.467.377;281;1.048.716.784
280;8.885.790.825;280;1.048.146.129
279;8.876.186.371;279;1.048.448.205
278;8.927.759.171;278;1.048.769.236
277;8.945.391.655;277;1.047.013.044
276;8.965.276.718;276;105.010.283
275;8.973.782.539;275;1.050.146.699
274;896.040.535;274;1.045.478.463
273;901.239.872;273;1.045.890.927
272;8.983.424.187;272;1.043.238.997
271;8.969.883.919;271;1.048.026.085
270;909.558.773;270;1.043.674.707
269;9.042.151.451;269;1.041.406.631
268;9.113.059.998;268;1.045.005.918
267;9.046.319.962;267;1.043.911.457
266;907.675.457;266;1.043.553.591
265;9.114.907.265;265;1.040.931.463
264;9.082.754.135;264;104.278.636
263;9.108.901.024;263;1.042.458.892
262;9.108.237.267;262;1.038.469.434
261;914.787.674;261;10.375.247
260;9.213.028.908;260;1.036.889.553
259;9.240.367.889;259;1.032.653.451
258;9.193.242.073;258;1.034.942.746
257;9.281.751.633;257;1.030.832.529
256;9.303.761.482;256;1.031.675.816
255;932.127.285;255;1.032.942.057
254;930.850.029;254;102.798.748
253;9.419.335.365;253;1.027.747.393
252;9.384.129.524;252;102.406.168
251;9.487.089.157;251;1.023.768.783
250;9.526.453.018;250;1.021.400.571
249;9.560.316.086;249;1.016.391.873
248;9.482.658.386;248;1.017.597.914
247;9.636.281.013;247;1.014.222.383
246;9.659.722.328;246;1.016.182.303
245;9.734.408.379;245;101.049.161
244;976.533.699;244;1.007.552.981
243;9.782.504.082;243;1.008.476.496
242;9.892.146.111;242;1.001.804.829
241;9.916.668.892;241;1.000.741.243
240;100.076.828;240;0.9998099208
239;1.006.440.544;239;0.9967141747
238;1.010.031.891;238;0.9956354499
237;1.018.411.732;237;0.9940001965
236;1.025.433.731;236;0.9884737134
235;1.022.437.096;235;0.9875418544
234;1.037.934.685;234;0.9834487438
233;1.043.403.625;233;0.9806647301
232;1.058.839.512;232;0.9782062173
