sample1;;sample2;
Wavelength (nm);Abs;Wavelength (nm);%R
489;0.668605864;489;215.440.979
488;0.6679830551;488;2.153.744.507
487;0.667242527;487;2.159.097.481
486;0.6665694714;486;2.162.150.002
485;0.6660711169;485;2.167.635.918
484;0.6654068828;484;2.169.455.719
483;0.6646639705;483;2.171.903.038
482;0.6645977497;482;2.171.928.978
481;0.663566649;481;2.175.280.762
480;0.6636093855;480;217.858.696
479;0.6628471613;479;218.443.718
478;0.6625579;478;218.308.239
477;0.661993742;477;2.185.719.872
476;0.661323607;476;2.189.046.097
475;0.6605761051;475;2.192.140.007
474;0.6604223847;474;2.193.569.756
473;0.6595916152;473;2.199.670.601
472;0.6591265798;472;2.198.509.216
471;0.6584162712;471;2.202.853.012
470;0.6576706767;470;2.204.947.281
469;0.6577491164;469;2.210.298.729
468;0.6566361189;468;2.211.798.286
467;0.6556964517;467;2.216.022.682
466;0.6540580392;466;2.224.199.867
465;0.6530532837;465;2.228.592.491
464;0.6526553035;464;2.234.394.455
463;0.6516411901;463;2.237.548.447
462;0.6510139704;462;2.240.505.028
461;0.6509258747;461;2.239.736.557
460;0.6501254439;460;2.241.769.791
459;0.6496545672;459;2.245.936.394
458;0.6490338445;458;2.249.604.607
457;0.6478306651;457;2.256.912.994
456;0.6472063661;456;2.259.389.687
455;0.6468470693;455;2.260.801.697
454;0.6462271214;454;2.265.299.225
453;0.6452230811;453;2.269.122.887
452;0.6446214318;452;2.270.943.832
451;0.6439917088;451;2.277.989.769
450;0.6431280375;450;2.283.299.828
449;0.6425424814;449;2.284.898.758
448;0.6420089006;448;2.288.718.224
447;0.6404459476;447;2.288.648.033
446;0.6403431892;446;2.297.796.822
445;0.6401049495;445;2.296.674.919
444;0.6394568086;444;2.297.422.218
443;0.6392982006;443;2.299.353.409
442;0.6389143467;442;2.307.929.802
441;0.6378468275;441;2.309.313.774
440;0.6368124485;440;2.313.792.801
439;0.636428535;439;2.318.213.081
438;0.6364777088;438;2.318.877.411
437;0.6352773905;437;2.321.795.082
436;0.634642899;436;2.323.163.033
435;0.6335713863;435;2.331.752.205
434;0.6336220503;434;2.333.360.672
433;0.6326911449;433;2.335.473.061
432;0.6313756108;432;23.389.431
431;0.630439043;431;2.345.699.883
430;0.6308725476;430;234.564.209
429;0.6299375892;429;2.350.716.782
428;0.6299251914;428;2.352.907.562
427;0.6286860704;427;2.356.876.755
426;0.6282761693;426;2.357.419.205
425;0.6272260547;425;2.362.842.369
424;0.627854228;424;2.363.731.575
423;0.627225697;423;2.368.838.692
422;0.6267115474;422;2.366.925.812
421;0.62630409;421;2.371.337.891
